stop_id,route_id,route_short_name,delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,status,temperature_c,precipitation_mm,wind_speed_kmh,weather_code,is_raining,weather_category
1_40065,1_102574,40,-1.87,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100223,43,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_17651,1_102747,61,-2.12,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_58342,1_100072,181,1.33,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_9605,1_100259,67,5.53,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_970,1_100003,101,2.35,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_21945,1_102717,165,3.82,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10640,1_100252,62,-21.25,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_59872,1_102619,F Line,0.9,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100447,49,1.03,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_8403,1_100039,14,-2.33,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_68888,1_102552,226,-2.57,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_2320,1_100001,1,9.87,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_64569,1_100162,271,-0.42,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_100263,7,1.12,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_100028,13,4.28,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_2850,1_100089,2,-23.98,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_27420,1_100249,60,5.08,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_23530,1_100259,67,2.12,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_72494,1_100160,269,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_42120,1_100249,60,-1.22,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_52306,1_102719,161,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_7750,1_102615,E Line,2.83,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_620,40_100236,545,-1.95,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_103,1_102745,G Line,7.25,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_12170,1_100039,14,1.23,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_46505,1_102619,F Line,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_1190,1_100447,49,-1.28,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_60477,1_100060,168,3.55,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_30800,1_100249,60,-0.68,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_21080,1_100026,128,-1.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_620,40_100240,554,-3.33,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_76024,1_102702,239,2.97,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_481,1_100024,125,5.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_481,1_102576,C Line,4.12,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_320,1_100104,212,1.57,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100264,70,0.52,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_102576,C Line,2.57,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_25140,1_100254,65,-1.03,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_970,1_100003,101,1.4,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_11569,1_100002,10,10.48,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_620,40_100236,545,-0.9,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100264,70,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100447,49,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_59282,1_102717,165,-19.73,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10640,1_100252,62,-6.98,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_8403,1_100039,14,-1.5,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_40065,1_102574,40,-10.08,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_103,1_102745,G Line,1.53,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_73945,1_102704,250,7.17,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2850,1_100089,2,-2.88,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_46505,1_102619,F Line,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_47660,1_102736,H Line,-6.38,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_8530,1_100263,7,-3.92,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_40065,1_102574,40,-0.2,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_11060,1_100223,43,-4.27,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_23905,1_100214,372,0.52,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
