stop_id,stop_name,lat,lon,direction
1_13810,15th Ave W & W Armour St,47.644825,-122.376328,S
1_70832,140th Ave SE & SE 1st St,47.608601,-122.153404,N
1_82674,100th Ave NE & Simonds Rd NE,47.73098,-122.207733,N
1_27420,Yesler & Broadway,47.601757,-122.320297,W
1_34740,Seward Park Ave S & S Orcas St,47.551247,-122.262184,NW
1_72560,Avondale Rd NE & NE 104th St,47.692619,-122.092751,N
1_11590,15th Ave E & E Roy St,47.625423,-122.312492,N
1_23530,11th Ave NE & NE Ravenna Blvd,47.671329,-122.316101,NE
1_3470,Beacon Ave S & S Lander St,47.579304,-122.312096,NW
1_65432,123rd Ave SE & SE 68th Pl,47.541229,-122.176926,N
1_45920,4th Ave S & S Brandon St,47.55389,-122.329651,S
1_27290,Lake Dell Ave & E Spruce St,47.60318,-122.290161,SE
1_76030,E Riverside Dr & E Riverside Pl,47.752895,-122.193283,W
1_37200,SW Seattle St & California Ave SW,47.589397,-122.386642,W
1_62173,132nd Ave SE & SE 256th St,47.373062,-122.165306,N
1_24510,28th Ave W & W Crockett St,47.637516,-122.393127,S
1_17080,Wallingford Ave N & N 80th St,47.68705,-122.336494,S
1_51471,Ambaum Blvd SW & SW 136th St,47.480969,-122.348145,N
1_64405,Snoqualmie Pkwy & Orchard Ave SE,47.532955,-121.850784,W
1_49100,Des Moines Memorial Dr S & S 202nd St,47.421024,-122.320183,N
1_25140,35th Ave NE & NE 55th St,47.668785,-122.290298,S
1_57453,Kent Sounder Station - Bay 3,47.384529,-122.232689,N
1_2320,1st Ave & Broad St,47.617207,-122.352859,NW
1_77460,15th Ave NE & NE 180th St,47.759152,-122.31356,S
1_74152,NE 104th St & 170th Ave NE,47.692963,-122.112877,W
1_48720,1st Ave S & SW 202nd St,47.420654,-122.33535,S
1_57851,Milwaukee Blvd N & Ellingson Rd,47.271614,-122.250145,S
1_60477,Kent Kangley Rd & 124th Ave SE,47.362938,-122.175743,E
1_59086,Lea Hill Rd SE & 107th Pl SE,47.322136,-122.197762,W
1_50774,64th Ave S & W James St,47.387138,-122.253616,N
1_1510,S Jackson St & Maynard Ave S,47.599262,-122.32547,W
1_58110,Interurban Ave S & Fort Dent Way,47.466122,-122.250107,E
1_62005,SW 336th Way & SW 337th St,47.298847,-122.368912,SW
1_68130,NE 8th St & 131st Ave NE,47.617126,-122.162338,E
1_76024,E Riverside Dr & 111th Ave NE,47.753197,-122.188515,SW
1_99429,Maple Vally - Black Diamond Rd SE & SE 253rd Pl,47.374424,-122.024712,S
1_58342,15th St SW & Market St,47.295902,-122.244217,W
1_75390,N 145th St & Dayton Ave N,47.7342,-122.352821,W
1_85120,26th Ave SW & SW 110th St,47.50473,-122.365875,S
1_75770,Aurora Ave N & N 170th St,47.752029,-122.345741,S
1_79877,SE 37th St & I-90,47.57769,-122.136742,SW
1_10653,NOAA & Building 1,47.686543,-122.257362,SW
1_62333,SE 272nd St & 207th Ave SE,47.357964,-122.065422,E
1_8671,Martin L King Jr Way S & S Mcclellan St,47.578617,-122.296089,N
1_72271,NE Union Hill Rd & 178th Pl NE,47.67572,-122.100693,W
1_72312,NE 70th Pl & 116th Ave NE,47.668892,-122.184494,SE
1_78002,138th Pl NE & NE 178th Pl,47.756855,-122.155403,SW
3_31002,16th Ave SW & SW 116th St,47.49928,-122.355224,S
1_81199,C St SW & Highway 18,47.303116,-122.232407,N
1_39443,SW Thistle St & 41st Ave SW,47.528534,-122.384583,W
1_75143,Fremont Ave N & N 170th St,47.752762,-122.350868,N
1_84025,NE Woodinville Duvall Rd & West Snoqualmie Val Rd NE,47.743885,-122.008438,W
1_82425,Railroad Ave S & SE King St,47.529602,-121.825829,NW
1_9850,Sand Point Way NE & Mathews Ave NE,47.693771,-122.274055,E
1_74743,Totem Lake Blvd & NE Village Plaza,47.713329,-122.183304,NW
1_11200,Broadway  E & E Mercer St,47.624611,-122.320839,N
1_73366,148th Ave NE & NE 46th St,47.652576,-122.143089,N
1_67943,108th Ave SE & SE 10th St,47.601379,-122.196465,S
1_35110,Seward Park Ave S & S Morgan St,47.544106,-122.26429,S
1_23820,5th Ave NE & NE 120th St,47.716114,-122.323395,N
1_11011,Broadway  E & E Roy St,47.625515,-122.32122,N
1_59286,Lea Hill Rd SE & 107th Pl SE,47.321766,-122.198715,NE
1_56440,Renton Ave S & 75th Ave S,47.492943,-122.240585,S
1_8190,Rainier Ave S & S Holly St,47.542728,-122.272881,NW
1_16630,Meridian Ave N & N 159th St,47.744774,-122.334488,N
1_81254,5th Ave NE & NE 152nd St,47.738731,-122.323723,S
1_59029,Griffin Ave & Wells St,47.203983,-121.990761,SE
1_59510,SE 168th St & 126th Ave SE,47.45229,-122.173851,E
1_49552,Glendale Way S & Des Moines Memorial Dr S,47.496319,-122.310799,NW
1_80472,S 312th St & Pacific Hwy S,47.322475,-122.313187,W
1_80477,23rd Ave S & S 314th St,47.320091,-122.304214,S
1_40801,East Marginal Way S & S Lucile St,47.553684,-122.336975,NW
1_16610,Meridian Ave N & N 155th St,47.741638,-122.334389,N
1_3380,Beacon Ave S & S Columbian Way,47.559223,-122.304161,N
1_35070,Seward Park Ave S & S Orcas St,47.550846,-122.2621,SE
1_14970,SW Admiral Way & 59th Ave SW,47.576076,-122.407791,NE
1_11569,15th Ave & E Pine St,47.6157,-122.312668,N
1_40012,SW Morgan St & Lanham Pl SW,47.544727,-122.373283,W
1_49724,8th Ave S & S Monroe St,47.531319,-122.322945,S
1_72494,Marymoor Village Station - Bay 4,47.667858,-122.1073,S
1_79610,SW Sunset Blvd & Hardie Ave SW,47.479603,-122.218773,E
1_64143,76th Ave SE & SE 24th St,47.588913,-122.237579,N
1_11940,S Jackson St & 18th Ave S,47.599304,-122.309349,W
1_84810,148th Ave NE & NE 24th St,47.630783,-122.143143,S
1_5489,Greenwood Ave N & N Greenwood Dr,47.746704,-122.355782,S
1_63305,Island Crest Way & SE 54th Pl,47.553657,-122.221519,N
1_34960,S Genesee St & 46th Ave S,47.564026,-122.275436,E
1_42120,15th Ave S & S Dawson St,47.555412,-122.31356,S
1_82324,Ballinger Way NE & 25th Ave NE,47.770493,-122.303207,NW
1_24330,34th Ave W & W Emerson St,47.654255,-122.40081,N
1_10380,NE 50th St & 16th Ave NE,47.664814,-122.310432,E
1_85350,NE 132nd St & 100th Pl NE,47.718563,-122.206558,W
1_45460,Cornell Ave S & S 115th St,47.49947,-122.24157,S
1_73112,NE Redmond Way & 140th Ave NE,47.676704,-122.153839,W
1_74442,108th Ave NE & NE 38th Pl,47.64428,-122.194321,SW
1_59773,W James St & Lincoln Ave N,47.386768,-122.242538,W
1_36500,16th Ave SW & SW Orchard St,47.538403,-122.354897,N
1_71842,Avondale Rd NE & NE 128th Way,47.715038,-122.088547,N
1_52411,SW 160th St & 18th Ave SW,47.459579,-122.35704,W
1_73953,NE 85th St & 124th Ave NE,47.679371,-122.177185,W
1_81170,Milwaukee Blvd S & Ellingson Rd,47.272312,-122.249931,N
1_75190,N 145th St & Aurora Ave N,47.73407,-122.34449,E
1_67028,SE 36th St & 132nd Ave SE,47.579544,-122.160744,W
1_52306,Burien Transit Center - Bay 6,47.46941,-122.337318,SW
1_16400,NE Ravenna Blvd & NE 68th St,47.677311,-122.323807,SE
1_57197,109th Ave SE & SE 256th St,47.375301,-122.197128,N
1_80121,Air Cargo Rd & S 166th St,47.453365,-122.301361,N
1_32013,44th Ave SW & SW Alaska St - Bay 5,47.561386,-122.388039,N
1_48390,1st Ave S & SW 124th St,47.492245,-122.333885,S
1_41128,S 144th St & Pacific Hwy S,47.474186,-122.286102,E
1_74137,162nd Ave NE & NE 116th St,47.703659,-122.123253,N
1_60958,Tukwila Intl Blvd & S 141st St,47.477661,-122.28363,N
1_39470,49th Ave SW & SW Spokane St,47.572292,-122.394646,N
1_81426,124th Ave NE & NE 157th St,47.741715,-122.174973,N
1_51800,Highland Park Way SW & SW Othello St,47.536602,-122.346931,N
1_31990,California Ave SW & SW Andover St,47.568146,-122.386871,S
1_37600,NE 75th St & 41st Ave NE,47.683109,-122.283646,W
1_63580,Island Crest Way & SE 48th St,47.559765,-122.220665,S
1_10370,NE 50th St & University Way NE,47.664829,-122.31266,E
1_55340,S Avon St & 59th Ave S,47.501251,-122.26046,E
1_21945,Kent Des Moines Park And Ride,47.391796,-122.287567,SE
1_48610,1st Ave S & SW 176th St,47.445385,-122.334061,S
1_57516,SE 277th Pl & 124th Ave SE,47.352959,-122.175888,W
1_8530,S Jackson St & Boren Ave S,47.599274,-122.315155,W
1_55395,Beacon Ave S & 56th Ave S,47.498352,-122.263618,NW
1_57156,104th Ave SE & SE 248th St,47.377861,-122.202255,N
1_46720,Monroe Ave NE & NE 7th Pl,47.493008,-122.17514,S
1_25980,35th Ave NE & NE 89th St,47.69334,-122.290543,N
1_99254,SODO Busway & S Lander St,47.58046,-122.327423,N
1_61580,26th Ave SW & SW 320th St,47.314751,-122.366714,N
1_7750,Aurora Ave N & N 91st St,47.694797,-122.344421,N
1_58112,Southcenter Blvd & 65th Ave S,47.462555,-122.252281,W
1_81568,132nd Ave NE & NE 108th St,47.695541,-122.16481,S
1_21680,Airport Way S & S Horton St,47.574989,-122.321304,N
1_85962,45th Pl S & S 290th St,47.341484,-122.276497,N
1_69882,84th Ave NE & NE 136th St,47.722591,-122.229233,N
1_73089,NE 40th St & 163rd Ave NE,47.645992,-122.122467,E
1_45670,S Myrtle Pl & S Holly Park Dr,47.537521,-122.287292,W
1_60180,128th Ave SE & SE Petrovitsky Rd,47.446728,-122.16996,N
1_47410,Marine View Dr S & S 218th St,47.406975,-122.324722,N
1_58754,Auburn Way S & Noble Ct SE,47.288342,-122.183403,W
1_71164,West Lake Sammamish Pkwy NE & NE 48th St,47.653229,-122.117096,N
1_24450,28th Ave W & W Dravus St,47.648315,-122.393005,S
1_30800,15th Ave S & S Nevada St,47.565064,-122.313599,S
1_21870,Airport Way S & S Walker St,47.583591,-122.321495,S
1_40030,N Northgate Way & Stone Ave N,47.705116,-122.341866,W
1_59210,M St NE & 6th St NE,47.313789,-122.213249,N
1_76002,131st Ave NE & NE 175th St,47.755035,-122.165245,N
1_37930,NE 65th St & 37th Ave NE,47.67585,-122.28804,W
1_29650,NW Market St & 5th Ave NW,47.668751,-122.363228,W
1_99320,Renton Maple Valley Rd & 149th Ave SE,47.466019,-122.142624,E
1_70665,Central Way & 5th St,47.678638,-122.199577,W
1_66730,164th Ave NE & NE 20th St,47.627796,-122.121208,S
1_2400,W Olympic Pl & 3rd Ave W,47.626793,-122.360535,W
1_17950,View Ave NW & Loyal Ave NW,47.695312,-122.401215,N
1_57350,108th Ave SE & SE 208th St,47.414887,-122.197144,S
1_2970,E Union St & 27th Ave,47.613007,-122.297836,W
1_82187,Roosevelt Way NE & NE 103rd St,47.703381,-122.317657,N
1_27360,E Yesler Way & 21st Ave,47.601738,-122.305443,W
1_45751,East Marginal Way S & Corson Ave S,47.54036,-122.323288,NW
1_65092,Newport Way SW & W Sunset Way,47.529053,-122.039833,NW
1_48760,1st Ave S & S 213th St,47.410896,-122.334106,SE
1_63811,NE 68th St & 180th Ave NE,47.666981,-122.098885,E
1_18230,W Nickerson St & Queen Anne Ave N,47.649792,-122.357918,SE
1_48948,Pacific Hwy S & S 240th St,47.386162,-122.296715,S
1_40900,Airport Way S & S Charlestown St,47.570076,-122.322617,N
1_38220,Lake City Way NE & NE 98th St,47.700081,-122.303604,SW
1_13190,Interlaken Turnback Loop & 19th Ave E,47.632507,-122.307373,SW
1_57173,W Saar St & 5th Ave S,47.378456,-122.237701,E
1_36510,16th Ave SW & SW Holly St,47.543026,-122.354813,N
1_72050,NE Old Redmond Rd & 137th Ave NE,47.667095,-122.158295,W
1_18590,Dexter Ave N & 4th Ave N,47.645462,-122.349037,NW
1_40065,N 105th St & Fremont Ave N,47.705006,-122.34977,E
1_82432,56th Ave W & 240th St SW,47.781334,-122.308495,S
1_48741,1st Ave S & S 210th St,47.413864,-122.334991,S
1_41850,15th Ave S & S Spokane St,47.571819,-122.313316,N
1_9860,Sand Point Way NE & Inverness Dr NE,47.692837,-122.271362,E
1_49630,Des Moines Memorial Dr S & S 108th St,47.506584,-122.30394,N
1_68593,145th Pl SE & SE 16th St,47.595478,-122.149666,SE
1_72446,NE Old Redmond Rd & West Lake Sammamish Way NE,47.671257,-122.13324,N
1_41940,9th Ave & James St,47.606022,-122.325058,NW
1_53870,4th Ave SW & SW 112th St,47.503307,-122.338928,N
1_53536,S 272nd St & Military Rd S,47.357868,-122.293015,W
1_10720,Sand Point Way NE & NE 95th St,47.697235,-122.277443,NW
1_9030,Rainier Ave S & 54th Ave S,47.519813,-122.264709,
1_18840,32nd Ave NW & NW 64th St,47.675384,-122.398277,N
1_81126,Milwaukee Blvd S & Warde St,47.278286,-122.250023,S
1_39240,15th Ave NE & NE 123rd St,47.717853,-122.312523,N
1_44970,SE 128th St & 168th Ave SE,47.488041,-122.117271,W
1_58119,Southcenter Pkwy & Minkler Blvd,47.448425,-122.262581,S
1_73368,148th Ave NE & NE 61st Way,47.662441,-122.143036,N
1_11060,Broadway & E Denny Way - Bay 4,47.618538,-122.320946,S
1_60359,Talbot Rd S & S 32nd St,47.451027,-122.211533,NW
1_74400,108th Ave NE & NE 60th St,47.661415,-122.196312,S
1_58092,S 180th St & Southcenter Pkwy,47.441475,-122.26001,W
1_70010,68th Ave NE & Inglewood Rd NE,47.752197,-122.249886,N
1_76312,98th Ave NE & NE 183rd St,47.760628,-122.209579,N
1_60515,1st Way S & S 340th St,47.297142,-122.329445,NE
1_57650,29th St SE & I St SE,47.282745,-122.217583,E
1_73960,166th Ave NE & NE 83rd St,47.677155,-122.11908,N
1_81234,NE 185th St & 1st Ave NE,47.763184,-122.329231,E
1_40825,Macadam Rd S & S 152nd St,47.46653,-122.265953,NW
1_71970,NE Redmond Way & 160th Ave NE,47.674839,-122.127953,W
